Date: 2011-07-28
Station: K02
Channel: 1

Time (s)      E (V/m)
77513.3282958  -0.04333602
77513.3282968  -0.04358017
77513.3282978  -0.04358017
77513.3282988  -0.04455675
77513.3282998  -0.04431261
77513.3283008  -0.04382431
77513.3283018  -0.04528919
77513.3283028  -0.04309187
77513.3283038  -0.04431261
77513.3283048  -0.04382431
77513.3283058  -0.04333602
77513.3283068  -0.04382431
77513.3283078  -0.04235943
77513.3283088  -0.04382431
77513.3283098  -0.04382431
77513.3283108  -0.04333602
77513.3283118  -0.04358017
77513.3283128  -0.04382431
77513.3283138  -0.04309187
77513.3283148  -0.04309187
77513.3283158  -0.04260358
77513.3283168  -0.04406846
77513.3283178  -0.04358017
77513.3283188  -0.04358017
77513.3283198  -0.04358017
77513.3283208  -0.04284773
77513.3283218  -0.04333602
77513.3283228  -0.04309187
77513.3283238  -0.04284773
77513.3283248  -0.04333602
77513.3283258  -0.04406846
77513.3283268  -0.04333602
77513.3283278  -0.04333602
77513.3283288  -0.04358017
77513.3283298  -0.04431261
77513.3283308  -0.04358017
77513.3283318  -0.04406846
77513.3283328  -0.04333602
77513.3283338  -0.04333602
77513.3283348  -0.04309187
77513.3283358  -0.04406846
77513.3283368  -0.04382431
77513.3283378  -0.04382431
77513.3283388  -0.04333602
77513.3283398  -0.04333602
77513.3283408  -0.04333602
77513.3283418  -0.04382431
77513.3283428  -0.04333602
77513.3283438  -0.04333602
77513.3283448  -0.04309187
77513.3283458  -0.04284773
77513.3283468  -0.04406846
77513.3283478  -0.04333602
77513.3283488  -0.04382431
77513.3283498  -0.04358017
77513.3283508  -0.04358017
77513.3283518  -0.04358017
77513.3283528  -0.04382431
77513.3283538  -0.04406846
77513.3283548  -0.04309187
77513.3283558  -0.04358017
77513.3283568  -0.04455675
77513.3283578  -0.04309187
77513.3283588  -0.04431261
77513.3283598  -0.04406846
77513.3283608  -0.04309187
77513.3283618  -0.04309187
77513.3283628  -0.04358017
77513.3283638  -0.04406846
77513.3283648  -0.04309187
77513.3283658  -0.04358017
77513.3283668  -0.04406846
77513.3283678  -0.04333602
77513.3283688  -0.04284773
77513.3283698  -0.04358017
77513.3283708  -0.04284773
77513.3283718  -0.04333602
77513.3283728  -0.04382431
77513.3283738  -0.04406846
77513.3283748  -0.04431261
77513.3283758  -0.04358017
77513.3283768  -0.04309187
77513.3283778  -0.04309187
77513.3283788  -0.04382431
77513.3283798  -0.04284773
77513.3283808  -0.04309187
77513.3283818  -0.04358017
77513.3283828  -0.04309187
77513.3283838  -0.04309187
77513.3283848  -0.04382431
77513.3283858  -0.04406846
77513.3283868  -0.04309187
77513.3283878  -0.04358017
77513.3283888  -0.04431261
77513.3283898  -0.04358017
77513.3283908  -0.04358017
77513.3283918  -0.04284773
77513.3283928  -0.04382431
77513.3283938  -0.04406846
77513.3283948  -0.04309187
77513.3283958  -0.04309187
77513.3283968  -0.04235943
77513.3283978  -0.04358017
77513.3283988  -0.04431261
77513.3283998  -0.04406846
77513.3284008  -0.04358017
77513.3284018  -0.04333602
77513.3284028  -0.04333602
77513.3284038  -0.04333602
77513.3284048  -0.04406846
77513.3284058  -0.04333602
77513.3284068  -0.04382431
77513.3284078  -0.04309187
77513.3284088  -0.04382431
77513.3284098  -0.04260358
77513.3284108  -0.04382431
77513.3284118  -0.04382431
77513.3284128  -0.04309187
77513.3284138  -0.04406846
77513.3284148  -0.04358017
77513.3284158  -0.04382431
77513.3284168  -0.04455675
77513.3284178  -0.04333602
77513.3284188  -0.04309187
77513.3284198  -0.04382431
77513.3284208  -0.04284773
77513.3284218  -0.04358017
77513.3284228  -0.04358017
77513.3284238  -0.04309187
77513.3284248  -0.04309187
77513.3284258  -0.04358017
77513.3284268  -0.04284773
77513.3284278  -0.04358017
77513.3284288  -0.04333602
77513.3284298  -0.04333602
77513.3284308  -0.04382431
77513.3284318  -0.04382431
77513.3284328  -0.04382431
77513.3284338  -0.04309187
77513.3284348  -0.04358017
77513.3284358  -0.04333602
77513.3284368  -0.04358017
77513.3284378  -0.04284773
77513.3284388  -0.04260358
77513.3284398  -0.04358017
77513.3284408  -0.04431261
77513.3284418  -0.04358017
77513.3284428  -0.04333602
77513.3284438  -0.04333602
77513.3284448  -0.04358017
77513.3284458  -0.04358017
77513.3284468  -0.04309187
77513.3284478  -0.04284773
77513.3284488  -0.04260358
77513.3284498  -0.04358017
77513.3284508  -0.04406846
77513.3284518  -0.04406846
77513.3284528  -0.04382431
77513.3284538  -0.04284773
77513.3284548  -0.04406846
77513.3284558  -0.04235943
77513.3284568  -0.04358017
77513.3284578  -0.04284773
77513.3284588  -0.04358017
77513.3284598  -0.04382431
77513.3284608  -0.04260358
77513.3284618  -0.04333602
77513.3284628  -0.04358017
77513.3284638  -0.04309187
77513.3284648  -0.04284773
77513.3284658  -0.04406846
77513.3284668  -0.04406846
77513.3284678  -0.04309187
77513.3284688  -0.04358017
77513.3284698  -0.04333602
77513.3284708  -0.04382431
77513.3284718  -0.04406846
77513.3284728  -0.04333602
77513.3284738  -0.04309187
77513.3284748  -0.04333602
77513.3284758  -0.04358017
77513.3284768  -0.04358017
77513.3284778  -0.04309187
77513.3284788  -0.04284773
77513.3284798  -0.04358017
77513.3284808  -0.04333602
77513.3284818  -0.04382431
77513.3284828  -0.04333602
77513.3284838  -0.04358017
77513.3284848  -0.04406846
77513.3284858  -0.04309187
77513.3284868  -0.04406846
77513.3284878  -0.04382431
77513.3284888  -0.04431261
77513.3284898  -0.04309187
77513.3284908  -0.04309187
77513.3284918  -0.04358017
77513.3284928  -0.04358017
77513.3284938  -0.04406846
77513.3284948  -0.04406846
77513.3284958  -0.04358017
77513.3284968  -0.04333602
77513.3284978  -0.04406846
77513.3284988  -0.04406846
77513.3284998  -0.04309187
77513.3285008  -0.04382431
77513.3285018  -0.04358017
77513.3285028  -0.04382431
77513.3285038  -0.04333602
77513.3285048  -0.04382431
77513.3285058  -0.04284773
77513.3285068  -0.04382431
77513.3285078  -0.04284773
77513.3285088  -0.04382431
77513.3285098  -0.04333602
77513.3285108  -0.04284773
77513.3285118  -0.04333602
77513.3285128  -0.04284773
77513.3285138  -0.04284773
77513.3285148  -0.04333602
77513.3285158  -0.04358017
77513.3285168  -0.04406846
77513.3285178  -0.04333602
77513.3285188  -0.04358017
77513.3285198  -0.04309187
77513.3285208  -0.04284773
77513.3285218  -0.04309187
77513.3285228  -0.04309187
77513.3285238  -0.04431261
77513.3285248  -0.04382431
77513.3285258  -0.04382431
77513.3285268  -0.04284773
77513.3285278  -0.04382431
77513.3285288  -0.04309187
77513.3285298  -0.04358017
77513.3285308  -0.04382431
77513.3285318  -0.04333602
77513.3285328  -0.04358017
77513.3285338  -0.04260358
77513.3285348  -0.04382431
77513.3285358  -0.04260358
77513.3285368  -0.04406846
77513.3285378  -0.04309187
77513.3285388  -0.04382431
77513.3285398  -0.04358017
77513.3285408  -0.04333602
77513.3285418  -0.04358017
77513.3285428  -0.04333602
77513.3285438  -0.04309187
77513.3285448  -0.04309187
77513.3285458  -0.04406846
77513.3285468  -0.04382431
77513.3285478  -0.04382431
77513.3285488  -0.04455675
77513.3285498  -0.04358017
77513.3285508  -0.04309187
77513.3285518  -0.04309187
77513.3285528  -0.04284773
77513.3285538  -0.04358017
77513.3285548  -0.04406846
77513.3285558  -0.04333602
77513.3285568  -0.04406846
77513.3285578  -0.04431261
77513.3285588  -0.04358017
77513.3285598  -0.04309187
77513.3285608  -0.04333602
77513.3285618  -0.04406846
77513.3285628  -0.04406846
77513.3285638  -0.04358017
77513.3285648  -0.04333602
77513.3285658  -0.04382431
77513.3285668  -0.04382431
77513.3285678  -0.04284773
77513.3285688  -0.04309187
77513.3285698  -0.04309187
77513.3285708  -0.04284773
77513.3285718  -0.04358017
77513.3285728  -0.04382431
77513.3285738  -0.04309187
77513.3285748  -0.04358017
77513.3285758  -0.04406846
77513.3285768  -0.04382431
77513.3285778  -0.04382431
77513.3285788  -0.04333602
77513.3285798  -0.04333602
77513.3285808  -0.04382431
77513.3285818  -0.04333602
77513.3285828  -0.04455675
77513.3285838  -0.04333602
77513.3285848  -0.04284773
77513.3285858  -0.04431261
77513.3285868  -0.04455675
77513.3285878  -0.04504505
77513.3285888  -0.04382431
77513.3285898  -0.04431261
77513.3285908  -0.04333602
77513.3285918  -0.04358017
77513.3285928  -0.04309187
77513.3285938  -0.04284773
77513.3285948  -0.04309187
77513.3285958  -0.04382431
77513.3285968  -0.04309187
77513.3285978  -0.04382431
77513.3285988  -0.04333602
77513.3285998  -0.04333602
77513.3286008  -0.04382431
77513.3286018  -0.04382431
77513.3286028  -0.04309187
77513.3286038  -0.04309187
77513.3286048  -0.04358017
77513.3286058  -0.04309187
77513.3286068  -0.04309187
77513.3286078  -0.04358017
77513.3286088  -0.04358017
77513.3286098  -0.04284773
77513.3286108  -0.04358017
77513.3286118  -0.04309187
77513.3286128  -0.04309187
77513.3286138  -0.04406846
