Date: 2011-07-28
Station: K02

Time (s)      E (V/m)
77513.3282952  -0.05822896
77513.3282962  -0.05920555
77513.3282972  -0.05896140
77513.3282982  -0.05993799
77513.3282992  -0.05944969
77513.3283002  -0.05969384
77513.3283012  -0.05969384
77513.3283022  -0.05920555
77513.3283032  -0.05920555
77513.3283042  -0.05920555
77513.3283052  -0.05871725
77513.3283062  -0.06018213
77513.3283072  -0.05896140
77513.3283082  -0.05993799
77513.3283092  -0.05871725
77513.3283102  -0.05944969
77513.3283112  -0.05944969
77513.3283122  -0.05896140
77513.3283132  -0.05847311
77513.3283142  -0.05993799
77513.3283152  -0.05969384
77513.3283162  -0.05944969
77513.3283172  -0.05920555
77513.3283182  -0.05920555
77513.3283192  -0.05896140
77513.3283202  -0.05871725
77513.3283212  -0.05993799
77513.3283222  -0.05920555
77513.3283232  -0.05920555
77513.3283242  -0.05871725
77513.3283252  -0.05944969
77513.3283262  -0.05822896
77513.3283272  -0.05871725
77513.3283282  -0.05969384
77513.3283292  -0.05944969
77513.3283302  -0.05969384
77513.3283312  -0.05944969
77513.3283322  -0.05993799
77513.3283332  -0.05896140
77513.3283342  -0.05847311
77513.3283352  -0.05944969
77513.3283362  -0.05871725
77513.3283372  -0.05896140
77513.3283382  -0.05969384
77513.3283392  -0.05969384
77513.3283402  -0.05969384
77513.3283412  -0.05920555
77513.3283422  -0.05944969
77513.3283432  -0.05871725
77513.3283442  -0.05896140
77513.3283452  -0.06018213
77513.3283462  -0.05920555
77513.3283472  -0.05944969
77513.3283482  -0.05993799
77513.3283492  -0.05969384
77513.3283502  -0.05896140
77513.3283512  -0.05944969
77513.3283522  -0.05944969
77513.3283532  -0.05896140
77513.3283542  -0.05871725
77513.3283552  -0.05896140
77513.3283562  -0.05920555
77513.3283572  -0.05969384
77513.3283582  -0.05944969
77513.3283592  -0.05871725
77513.3283602  -0.05920555
77513.3283612  -0.05871725
77513.3283622  -0.05969384
77513.3283632  -0.05993799
77513.3283642  -0.05896140
77513.3283652  -0.05920555
77513.3283662  -0.05969384
77513.3283672  -0.05969384
77513.3283682  -0.05944969
77513.3283692  -0.05920555
77513.3283702  -0.05944969
77513.3283712  -0.05822896
77513.3283722  -0.05944969
77513.3283732  -0.05944969
77513.3283742  -0.05871725
77513.3283752  -0.05798481
77513.3283762  -0.05896140
77513.3283772  -0.05896140
77513.3283782  -0.05847311
77513.3283792  -0.05896140
77513.3283802  -0.05944969
77513.3283812  -0.05871725
77513.3283822  -0.05847311
77513.3283832  -0.05944969
77513.3283842  -0.05969384
77513.3283852  -0.05920555
77513.3283862  -0.05920555
77513.3283872  -0.06018213
77513.3283882  -0.05896140
77513.3283892  -0.05871725
77513.3283902  -0.05871725
77513.3283912  -0.05920555
77513.3283922  -0.05969384
77513.3283932  -0.05993799
77513.3283942  -0.06042628
77513.3283952  -0.05993799
77513.3283962  -0.05847311
77513.3283972  -0.05871725
77513.3283982  -0.05871725
77513.3283992  -0.05993799
77513.3284002  -0.05944969
77513.3284012  -0.05944969
77513.3284022  -0.06018213
77513.3284032  -0.05944969
77513.3284042  -0.05944969
77513.3284052  -0.05896140
77513.3284062  -0.05920555
77513.3284072  -0.05920555
77513.3284082  -0.05920555
77513.3284092  -0.05969384
77513.3284102  -0.05969384
77513.3284112  -0.05969384
